Student_id,Age,Program,Semester,GPA,Attendance,Assignments_completion,Stress_level,Sleep_hours,Mental_wellbeing,Productivity_score,Distractions,Carreer_clarity,Skill_readiness,Engagement_score,APS,WWS,PTMS,CRS,SRI,Category
S246,24,B.Pharma,4,6.12,49,67,6,6,6,7,4,9,6,30,58.699999999999996,56.5,46.0,75.0,59.16,Yellow
S247,23,B.A (HON),4,7.88,76,67,8,8,4,8,6,5,5,60,75.60000000000001,50.0,56.0,50.0,59.18000000000001,Yellow
S248,22,MBBA,6,8.99,75,54,7,9,7,3,8,6,6,86,78.25,63.0,22.799999999999997,60.0,56.775000000000006,Yellow
S249,21,BCA,4,7.54,78,55,6,5,6,4,9,7,4,55,72.1,52.75,17.5,55.0,50.305,Yellow
S250,22,B.COM,3,8.05,58,65,5,6,5,7,5,4,5,80,70.65,57.5,58.0,45.0,58.445,Yellow
S251,24,D.Pharma,4,6.0,49,88,9,7,6,6,5,9,4,60,62.300000000000004,48.25,45.0,65.0,55.84,Yellow
S252,21,MA,6,5.01,76,62,7,8,4,7,9,6,2,30,60.25,54.0,31.0,40.0,46.625,Red
S253,24,BBA,4,6.35,75,53,5,9,7,5,8,7,1,67,64.85,71.0,31.099999999999994,40.0,51.43,Yellow
S254,20,B.SC,3,9.11,78,60,9,8,6,9,7,6,4,78,80.94999999999999,52.0,65.39999999999999,50.0,63.535,Yellow
S255,20,BBA,5,6.0,44,89,4,7,7,8,3,6,4,89,61.0,71.25,73.7,50.0,63.474999999999994,Yellow
S256,22,BCA,6,5.78,67,76,6,5,5,7,8,5,6,80,64.2,49.75,49.0,55.0,55.21,Yellow
S257,23,MBA,4,9.0,80,70,8,6,7,3,7,4,4,67,83.0,51.5,20.099999999999994,40.0,50.225,Yellow
S258,20,B.TECH,4,6.0,60,40,9,7,8,8,6,6,3,70,56.0,54.25,59.0,45.0,53.650000000000006,Yellow
S259,19,BSC,3,8.0,40,50,6,8,5,6,7,8,4,54,62.0,61.0,37.2,60.0,55.099999999999994,Yellow
S260,25,BA,5,6.99,53,77,3,6,7,5,9,7,8,77,66.25,71.5,31.099999999999994,75.0,60.699999999999996,Yellow
S261,23,LLB,2,7.44,83,65,9,7,9,8,7,6,7,86,75.1,57.25,60.8,65.0,65.42999999999999,Yellow
